run_id,config_id,generator,primary_dial_value,primary_level,secondary_dial_value,secondary_level,proposal_id,population_id,generating_model,network_seed,placement_seed,execution_order
run_079,11,holme_kim,0.8,2,4.0,1,un_veto,pop_b1,glm-5.2,11002,2419214838,0
run_123,17,sbm,50.0,2,20.0,1,meaning_of_life,pop_a1,deepseek-v4-flash,17004,1121858082,1
run_048,6,holme_kim,0.2,0,3.0,0,shared_workplace,pop_b1,glm-5.2,6006,2956607951,2
run_085,12,sbm,3.0,0,10.0,0,wealth_tax,pop_a2,deepseek-v4-flash,12001,3498737723,3
run_006,0,watts_strogatz,0.1,0,6.0,0,shared_workplace,pop_c1,gpt-oss-20b,6,1764940843,4
run_065,9,holme_kim,0.5,1,4.0,1,un_veto,pop_c1,gpt-oss-20b,9002,3537994457,5
run_022,3,watts_strogatz,0.3,1,8.0,1,wealth_tax,pop_b2,glm-5.2,3001,3092820166,6
run_005,0,watts_strogatz,0.1,0,6.0,0,regifting,pop_b1,glm-5.2,5,1270434097,7
run_049,7,holme_kim,0.2,0,4.0,1,srma,pop_b1,glm-5.2,7000,2999954580,8
run_089,12,sbm,3.0,0,10.0,0,regifting,pop_b2,glm-5.2,12005,1391069041,9
run_047,6,holme_kim,0.2,0,3.0,0,regifting,pop_a1,deepseek-v4-flash,6005,394511511,10
run_098,14,sbm,10.0,1,10.0,0,srma,pop_a1,deepseek-v4-flash,14000,127874938,11
run_073,10,holme_kim,0.8,2,3.0,0,aesthetic_objectivity,pop_c2,gpt-oss-20b,10003,1813385692,12
run_071,10,holme_kim,0.8,2,3.0,0,wealth_tax,pop_c2,gpt-oss-20b,10001,3211397992,13
run_043,6,holme_kim,0.2,0,3.0,0,wealth_tax,pop_a1,deepseek-v4-flash,6001,1258074921,14
run_110,15,sbm,10.0,1,20.0,1,regifting,pop_a2,deepseek-v4-flash,15005,1536164074,15
run_053,7,holme_kim,0.2,0,4.0,1,meaning_of_life,pop_c1,gpt-oss-20b,7004,1039674510,16
run_007,1,watts_strogatz,0.1,0,8.0,1,srma,pop_a1,deepseek-v4-flash,1000,178089796,17
run_091,13,sbm,3.0,0,20.0,1,srma,pop_c1,gpt-oss-20b,13000,2610855521,18
run_046,6,holme_kim,0.2,0,3.0,0,meaning_of_life,pop_a2,deepseek-v4-flash,6004,3359585056,19
run_112,16,sbm,50.0,2,10.0,0,srma,pop_b2,glm-5.2,16000,159509055,20
run_092,13,sbm,3.0,0,20.0,1,wealth_tax,pop_b2,glm-5.2,13001,3824833654,21
run_105,15,sbm,10.0,1,20.0,1,srma,pop_b2,glm-5.2,15000,3102889719,22
run_102,14,sbm,10.0,1,10.0,0,meaning_of_life,pop_a1,deepseek-v4-flash,14004,2143752893,23
run_116,16,sbm,50.0,2,10.0,0,meaning_of_life,pop_a2,deepseek-v4-flash,16004,2892619733,24
run_030,4,watts_strogatz,0.5,2,6.0,0,un_veto,pop_b1,glm-5.2,4002,4036769607,25
run_090,12,sbm,3.0,0,10.0,0,shared_workplace,pop_a2,deepseek-v4-flash,12006,2295106847,26
run_051,7,holme_kim,0.2,0,4.0,1,un_veto,pop_a2,deepseek-v4-flash,7002,835825218,27
run_033,4,watts_strogatz,0.5,2,6.0,0,regifting,pop_c2,gpt-oss-20b,4005,2141922482,28
run_068,9,holme_kim,0.5,1,4.0,1,regifting,pop_a1,deepseek-v4-flash,9005,649097570,29
run_027,3,watts_strogatz,0.3,1,8.0,1,shared_workplace,pop_a1,deepseek-v4-flash,3006,2009397756,30
run_061,8,holme_kim,0.5,1,3.0,0,regifting,pop_c1,gpt-oss-20b,8005,193971888,31
run_028,4,watts_strogatz,0.5,2,6.0,0,srma,pop_a2,deepseek-v4-flash,4001,212164647,32
run_108,15,sbm,10.0,1,20.0,1,aesthetic_objectivity,pop_c1,gpt-oss-20b,15003,605408948,33
run_115,16,sbm,50.0,2,10.0,0,aesthetic_objectivity,pop_b1,glm-5.2,16003,1243668133,34
run_056,8,holme_kim,0.5,1,3.0,0,srma,pop_c2,gpt-oss-20b,8000,1929907127,35
run_074,10,holme_kim,0.8,2,3.0,0,meaning_of_life,pop_b2,glm-5.2,10004,2283591457,36
run_052,7,holme_kim,0.2,0,4.0,1,aesthetic_objectivity,pop_a1,deepseek-v4-flash,7003,2951312017,37
run_119,17,sbm,50.0,2,20.0,1,srma,pop_c1,gpt-oss-20b,17000,1252642510,38
run_001,0,watts_strogatz,0.1,0,6.0,0,wealth_tax,pop_c1,gpt-oss-20b,1,3230290472,39
run_021,3,watts_strogatz,0.3,1,8.0,1,srma,pop_c1,gpt-oss-20b,3000,1789736965,40
run_086,12,sbm,3.0,0,10.0,0,un_veto,pop_c2,gpt-oss-20b,12002,3290290971,41
run_066,9,holme_kim,0.5,1,4.0,1,aesthetic_objectivity,pop_a2,deepseek-v4-flash,9003,3715893113,42
run_087,12,sbm,3.0,0,10.0,0,aesthetic_objectivity,pop_c2,gpt-oss-20b,12003,3520439957,43
run_012,1,watts_strogatz,0.1,0,8.0,1,regifting,pop_c2,gpt-oss-20b,1005,3903435360,44
run_101,14,sbm,10.0,1,10.0,0,aesthetic_objectivity,pop_a2,deepseek-v4-flash,14003,1712003072,45
run_009,1,watts_strogatz,0.1,0,8.0,1,un_veto,pop_a2,deepseek-v4-flash,1002,984290676,46
run_117,16,sbm,50.0,2,10.0,0,regifting,pop_a2,deepseek-v4-flash,16005,623695889,47
run_069,9,holme_kim,0.5,1,4.0,1,shared_workplace,pop_c2,gpt-oss-20b,9006,3457563325,48
run_010,1,watts_strogatz,0.1,0,8.0,1,aesthetic_objectivity,pop_c1,gpt-oss-20b,1003,3740176228,49
run_014,2,watts_strogatz,0.3,1,6.0,0,srma,pop_c2,gpt-oss-20b,2000,3694936295,50
run_058,8,holme_kim,0.5,1,3.0,0,un_veto,pop_c1,gpt-oss-20b,8002,3656006880,51
run_095,13,sbm,3.0,0,20.0,1,meaning_of_life,pop_b1,glm-5.2,13004,2335710102,52
run_125,17,sbm,50.0,2,20.0,1,shared_workplace,pop_a1,deepseek-v4-flash,17006,3949790611,53
run_023,3,watts_strogatz,0.3,1,8.0,1,un_veto,pop_b1,glm-5.2,3002,1459286250,54
run_113,16,sbm,50.0,2,10.0,0,wealth_tax,pop_c1,gpt-oss-20b,16001,765558147,55
run_034,4,watts_strogatz,0.5,2,6.0,0,shared_workplace,pop_b2,glm-5.2,4006,3551633429,56
run_000,0,watts_strogatz,0.1,0,6.0,0,srma,pop_a1,deepseek-v4-flash,0,1131907339,57
run_084,12,sbm,3.0,0,10.0,0,srma,pop_b1,glm-5.2,12000,608050631,58
run_039,5,watts_strogatz,0.5,2,8.0,1,meaning_of_life,pop_c2,gpt-oss-20b,5004,2699826263,59
